,HT29-dapi,HT29-pi,Hs766T-dapi,Hs766T-pi,both-dapi,both-pi
h8_p,,,0.7153440565974771,0.0,0.9147056862875809,0.014888710647683979
a10_p,,,0.9241013999243284,0.0,0.9192200026660066,0.017508417508417508
b11_p,,,0.8920043166879231,0.0,0.9413311839816739,
b8_p,,,0.8891534280055623,0.0,0.7657428577533708,0.06054710187013591
d11_p,,,0.8106833493743985,0.0,0.816075006010097,0.02320915914357857
e11_p,,,0.8744504152418173,0.0,0.9045083331199918,0.18019167126309985
g11_p,,,0.8818873001470542,0.0,0.9028860533935787,
a8_p,,,0.9057946835724614,0.0,0.6943499791181911,0.0794572059184174
a9_p,,,0.9497314215624075,0.0,0.869594882729211,0.07760390528764999
d10_p,,,0.9410879290880964,0.0,0.9444157774154265,0.012701404784345406
d8_p,,,0.927208671043259,0.0,0.6307186971401597,0.11300454008333852
f9_p,,,0.8792687017779268,0.0,0.9309446027663864,
g8_p,,,0.9239932636584278,0.0,0.9343850482315113,
b10_p,,,0.9433395949036263,0.0,0.8898651751053972,0.007967171414172925
e9_p,,,0.9085823731493022,0.0,0.9284148346629316,0.0068648382328789625
f11_p,,,0.8824127414435784,0.0,0.9088924116890498,
f8_p,,,0.8938438686251857,0.0,0.5724519916420683,0.06802385543249181
g9_p,,,0.9121317512274959,0.0,0.890621835122544,0.013054262216613724
h9_p,,,0.9363861535673292,0.0,0.9373999169681514,0.0071511084218053795
b9_p,,,0.9368685835821506,0.0,0.7670720905614725,0.02108839035581144
c10_p,,,0.9454395886889461,0.0,0.93110971260751,
c9_p,,,0.9340854278367982,0.0,0.9264732713008575,0.02970471056948676
d9_p,,,0.9379782441922222,0.0,0.7626425562519265,0.016911446639339196
f10_p,,,0.9111643835616439,0.0,0.868707622765564,
h11_p,,,0.9567617005172196,0.0,0.9348346145258525,0.0102659445477326
